Item_Weight,Item_Fat_Content,Item_Visibility,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_PPU,Item_Cat,Outlet_Age,Item_ID
9.3,Low Fat,0.016047301,OUT049,Medium,Tier 1,Supermarket Type1,3735.138,26.86120430107527,Perishables,22,FD
5.92,Regular,0.019278216,OUT018,Medium,Tier 3,Supermarket Type2,443.4228,8.15358108108108,Non-Perishables,12,DR
17.5,Low Fat,0.016760075,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,8.092457142857143,Perishables,22,FD
19.199999999999996,Regular,0.0,OUT010,Small,Tier 3,Grocery Store,732.38,9.484114583333335,Perishables,23,FD
8.93,Low Fat,0.0,OUT013,High,Tier 3,Supermarket Type1,994.7052,6.031511758118701,Non-Perishables,34,NC
10.395,Regular,0.0,OUT018,Medium,Tier 3,Supermarket Type2,556.6088,4.944761904761904,Non-Perishables,12,FD
13.650000000000002,Regular,0.012741089,OUT013,High,Tier 3,Supermarket Type1,343.5528,4.224087912087912,Non-Perishables,34,FD
19.0,Low Fat,0.127469857,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636,5.671694736842106,Non-Perishables,36,FD
16.2,Regular,0.016687114,OUT045,Small,Tier 2,Supermarket Type1,1076.5986,5.985962962962963,Non-Perishables,19,FD
19.199999999999996,Regular,0.09444959,OUT017,Small,Tier 2,Supermarket Type1,4710.535,9.782364583333337,Non-Perishables,14,FD
11.8,Low Fat,0.0,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266,3.859338983050847,Perishables,22,FD
18.5,Regular,0.045463773,OUT046,Small,Tier 1,Supermarket Type1,2187.153,7.78974054054054,Perishables,24,FD
15.099999999999998,Regular,0.1000135,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646,9.634344370860928,Perishables,22,FD
17.6,Regular,0.047257328,OUT046,Small,Tier 1,Supermarket Type1,2145.2076,6.799897727272727,Non-Perishables,24,FD
16.35,Low Fat,0.0680243,OUT013,High,Tier 3,Supermarket Type1,1977.426,12.014837920489295,Perishables,34,FD
9.0,Regular,0.069088961,OUT046,Small,Tier 1,Supermarket Type1,1547.3192,6.262377777777778,Perishables,24,FD
11.8,Low Fat,0.008596051,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888,9.77535593220339,Non-Perishables,12,NC
9.0,Regular,0.069196376,OUT049,Medium,Tier 1,Supermarket Type1,718.3982,6.040155555555556,Perishables,22,FD
8.26,Low Fat,0.034237682,OUT027,Medium,Tier 3,Supermarket Type3,2303.668,13.714697336561743,Non-Perishables,36,DR
13.349999999999998,Low Fat,0.10249212,OUT035,Small,Tier 2,Supermarket Type1,2748.4224,17.26855430711611,Perishables,17,FD
18.85,Regular,0.138190277,OUT013,High,Tier 3,Supermarket Type1,3775.086,13.308880636604773,Non-Perishables,34,FD
8.315,Regular,0.035399923,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432,17.383571858087794,Non-Perishables,36,FD
14.599999999999998,Low Fat,0.025698134,OUT035,Small,Tier 2,Supermarket Type1,1587.2672,13.459479452054795,Non-Perishables,17,NC
15.5,Low Fat,0.057556998,OUT019,Small,Tier 1,Grocery Store,214.3876,6.9479870967741935,Non-Perishables,36,FD
13.849999999999998,Regular,0.025896485,OUT046,Small,Tier 1,Supermarket Type1,4078.025,11.914873646209386,Non-Perishables,24,FD
13.0,Low Fat,0.099887103,OUT017,Small,Tier 2,Supermarket Type1,838.908,3.531230769230769,Non-Perishables,14,NC
7.645,Regular,0.066693437,OUT035,Small,Tier 2,Supermarket Type1,1065.28,5.534493132766515,Non-Perishables,17,FD
11.650000000000002,Low Fat,0.019356132,OUT013,High,Tier 3,Supermarket Type1,308.9312,3.357630901287553,Non-Perishables,34,DR
5.924999999999999,Regular,0.161466534,OUT010,Small,Tier 3,Grocery Store,178.4344,7.680776371308019,Perishables,23,FD
14.5,Regular,0.072221801,OUT019,Small,Tier 1,Grocery Store,125.8362,3.010027586206897,Non-Perishables,36,FD
19.25,Low Fat,0.170348551,OUT010,Small,Tier 3,Grocery Store,163.7868,2.8984727272727273,Perishables,23,FD
18.6,Low Fat,0.080829372,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644,5.185139784946236,Non-Perishables,12,NC
18.699999999999996,Low Fat,0.0,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064,13.725518716577541,Non-Perishables,12,FD
17.85,Low Fat,0.0,OUT045,Small,Tier 2,Supermarket Type1,2174.5028,5.218128851540616,Perishables,19,FD
17.5,Low Fat,0.097904029,OUT046,Small,Tier 1,Supermarket Type1,2085.2856,9.992788571428571,Non-Perishables,24,DR
10.0,Low Fat,0.089291137,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652,14.671019999999999,Non-Perishables,22,NC
20.199999999999996,Regular,0.059511812,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916,6.339990099009903,Perishables,36,FD
8.85,Regular,0.113123893,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044,13.84619209039548,Non-Perishables,12,DR
6.385,Regular,0.123111453,OUT027,Medium,Tier 3,Supermarket Type3,388.1614,5.792858261550509,Non-Perishables,36,FD
15.25,Low Fat,0.026480954,OUT027,Medium,Tier 3,Supermarket Type3,2180.495,5.745560655737704,Non-Perishables,36,FD
13.349999999999998,Low Fat,0.102511504,OUT046,Small,Tier 1,Supermarket Type1,3435.528,17.276044943820228,Perishables,24,FD
9.8,Low Fat,0.02681843,OUT013,High,Tier 3,Supermarket Type1,2150.534,12.857346938775509,Perishables,34,FD
